Producer,Title,URL,Views,Downloaded
smartereveryday,Nature's Incredible ROTATING MOTOR (It’s Electric!) - Smarter Every Day 300,https://www.youtube.com/watch?v=VPSm9gJkPxU,2.7M views,false
smartereveryday,Actual Clickbait - Smarter Every Day 299,https://www.youtube.com/watch?v=TWc48iVC8u8,1.4M views,false
smartereveryday,I Accidentally Photographed Something Unknown During the Eclipse - Smarter Every Day 298,https://www.youtube.com/watch?v=bQF51mqzrY4,4.2M views,false
smartereveryday,Touring the Vulcan Rocket on the Launch Pad - Smarter Every Day 297,https://www.youtube.com/watch?v=Bh7Xf3Ox7K8,864K views,false
